gen     	evals	sigma	distance	avg    	std   	min    	max    	dur  
0001/250	2    	0.19 	1.92    	27.09  	1.42  	25.68  	28.51  	1.49 
0002/250	2    	0.18 	2.42    	29.92  	2.12  	27.8   	32.04  	1.71 
0003/250	2    	0.18 	2.14    	28.76  	0.13  	28.63  	28.89  	1.55 
0004/250	2    	0.17 	2.38    	27.04  	4.68  	22.36  	31.71  	1.69 
0005/250	2    	0.16 	2.79    	34.57  	2.75  	31.82  	37.31  	1.97 
0006/250	2    	0.16 	2.43    	31.34  	0.99  	30.35  	32.33  	1.7  
0007/250	2    	0.15 	3.23    	35.12  	4.57  	30.55  	39.68  	2.25 
0008/250	2    	0.15 	2.46    	29.35  	2.5   	26.85  	31.85  	1.68 
0009/250	2    	0.15 	1.94    	25.33  	1.09  	24.24  	26.43  	1.42 
0010/250	2    	0.14 	2.03    	26.93  	0.99  	25.94  	27.92  	1.49 
0011/250	2    	0.14 	2.05    	28.27  	0.03  	28.24  	28.3   	1.53 
0012/250	2    	0.14 	2.94    	31.91  	6.12  	25.79  	38.03  	2.01 
0013/250	2    	0.13 	2.47    	29.57  	2.33  	27.24  	31.9   	1.7  
0014/250	2    	0.13 	1.99    	25.79  	0.89  	24.9   	26.68  	1.47 
0015/250	2    	0.13 	1.91    	27.13  	0.32  	26.81  	27.45  	1.44 
0016/250	2    	0.13 	2.45    	29.97  	2.6   	27.38  	32.57  	1.72 
0017/250	2    	0.13 	5.16    	54.5   	27.58 	26.92  	82.08  	4.29 
0018/250	2    	0.13 	2.54    	31.26  	2.5   	28.76  	33.76  	1.79 
0019/250	2    	0.13 	7.64    	71.68  	37.48 	34.2   	109.16 	5.8  
0020/250	2    	0.13 	3.17    	34.07  	7     	27.07  	41.08  	2.29 
0021/250	2    	0.12 	2.56    	30.81  	4.63  	26.18  	35.44  	1.88 
0022/250	2    	0.12 	4.42    	47.8   	12.3  	35.49  	60.1   	3.16 
0023/250	2    	0.12 	4.92    	50.18  	19.35 	30.84  	69.53  	3.65 
0024/250	2    	0.12 	2.52    	32.41  	0.97  	31.44  	33.38  	1.79 
0025/250	2    	0.12 	3.24    	46.18  	1.15  	45.03  	47.33  	2.5  
0026/250	2    	0.12 	3.4     	36.36  	11.5  	24.87  	47.86  	2.54 
0027/250	2    	0.12 	2.45    	29.23  	2.11  	27.11  	31.34  	1.68 
0028/250	2    	0.12 	2.47    	29.84  	2.94  	26.91  	32.78  	1.73 
0029/250	2    	0.12 	4       	52.85  	5.01  	47.84  	57.86  	3.04 
0030/250	2    	0.12 	3.3     	38.25  	9.08  	29.17  	47.33  	2.54 
0031/250	2    	0.11 	3.31    	48.11  	1.25  	46.85  	49.36  	2.62 
0032/250	2    	0.11 	2.48    	32.48  	0.88  	31.59  	33.36  	1.76 
0033/250	2    	0.11 	3.26    	39.79  	7.95  	31.83  	47.74  	2.57 
0034/250	2    	0.11 	4.42    	56.08  	6.88  	49.19  	62.96  	3.32 
0035/250	2    	0.11 	2.46    	32.34  	1.07  	31.26  	33.41  	1.79 
0036/250	2    	0.11 	4.77    	50.46  	17.7  	32.76  	68.16  	3.66 
0037/250	2    	0.11 	3.21    	46.01  	1.75  	44.25  	47.76  	2.55 
0038/250	2    	0.11 	3.81    	48.58  	5.31  	43.27  	53.89  	2.91 
0039/250	2    	0.11 	5.3     	53.86  	28.11 	25.75  	81.98  	4.37 
0040/250	2    	0.11 	8.25    	82.71  	56.1  	26.61  	138.81 	8.05 
0041/250	2    	0.11 	3.25    	35.23  	10.08 	25.16  	45.31  	2.43 
0042/250	2    	0.11 	6.29    	59.74  	30.41 	29.33  	90.15  	4.79 
0043/250	2    	0.11 	31.63   	282.2  	224.14	58.06  	506.35 	26.41
0044/250	2    	0.1  	3.33    	38.72  	7.6   	31.12  	46.32  	2.47 
0045/250	2    	0.1  	10.83   	114.16 	55.54 	58.63  	169.7  	8.95 
0046/250	2    	0.1  	9.68    	100.25 	52.35 	47.9   	152.6  	8.08 
0047/250	2    	0.1  	3.25    	41.19  	5.55  	35.64  	46.74  	2.51 
0048/250	2    	0.1  	3.97    	49.8   	2.48  	47.32  	52.28  	2.78 
0049/250	2    	0.1  	3.27    	36.83  	10.83 	26     	47.66  	2.52 
0050/250	2    	0.1  	9.37    	93.06  	42.48 	50.58  	135.54 	7.27 
0051/250	2    	0.09 	7.81    	105.61 	9.3   	96.3   	114.91 	6.08 
0052/250	2    	0.09 	15.39   	159.57 	81.38 	78.19  	240.95 	12.78
0053/250	2    	0.09 	3.91    	55.44  	0.52  	54.92  	55.96  	2.99 
0054/250	2    	0.09 	9.75    	137.7  	11.04 	126.66 	148.75 	7.96 
0055/250	2    	0.09 	4.48    	56.3   	9.87  	46.43  	66.17  	3.52 
0056/250	2    	0.09 	8.52    	88.84  	40.91 	47.94  	129.75 	6.91 
0057/250	2    	0.09 	6.13    	73     	24.2  	48.8   	97.2   	5.15 
0058/250	2    	0.09 	8.65    	93.45  	35.95 	57.49  	129.4  	6.95 
0059/250	2    	0.09 	79.57   	647.18 	506.24	140.93 	1153.42	60   
0060/250	2    	0.1  	69.24   	630.95 	518.34	112.61 	1149.3 	60   
0061/250	2    	0.1  	73.83   	1150.07	2.87  	1147.21	1152.94	60   
0062/250	2    	0.1  	78.3    	1155.47	0.81  	1154.66	1156.29	60   
