gen     	evals	sigma	distance	avg 	std	min 	max  	dur 
0001/150	19   	4.69 	1.98    	9.62	6.5	3.79	31.22	2.34
0002/150	19   	4.48 	3.34    	17.63	20.21	4.43	94.81	5.61
0003/150	19   	4.32 	0.1     	11.86	4.26 	3.73	23.18	1.5 
0004/150	19   	4.16 	1.88    	15.37	7.7  	7.35	33.21	2.25
0005/150	19   	4.09 	5.89    	20.51	14.47	8   	73.21	4.82
0006/150	19   	4.07 	1.55    	16.56	9.21 	3.5 	46.94	2.86
0007/150	19   	4.13 	4.8     	23.36	16.35	5.32	60.19	4.17
0008/150	19   	4.16 	9.5     	24.86	27.34	3.56	124.81	7.9 
0009/150	19   	4.12 	4.53    	22.97	32.99	3.76	155.77	10  
0010/150	19   	3.98 	5.08    	16.05	13.38	7.15	70.67 	4.56
0011/150	19   	3.92 	4.62    	21.34	14.98	10.04	74.74 	5.08
0012/150	19   	3.88 	3.6     	20.39	8.36 	9.7  	38.44 	2.7 
0013/150	19   	3.89 	7.18    	22.27	26.8 	4.14 	130.53	8.16
0014/150	19   	3.87 	8.32    	25.69	30.39	3.88 	144.06	9.48
0015/150	19   	3.84 	10.98   	26.6 	35.31	3.2  	159.04	10  
0016/150	19   	3.87 	3.93    	27.37	16.42	9.89 	67.36 	4.24
0017/150	19   	3.85 	4.74    	23.16	10.52	12.42	51.24 	3.27
0018/150	19   	3.85 	4.65    	23.31	17   	3.72 	65.94 	4.28
0019/150	19   	3.82 	6.01    	27.37	19.83	9.69 	73.3  	4.86
0020/150	19   	3.76 	10.35   	23.51	35.66	4.92 	168.77	10  
0021/150	19   	3.7  	3.53    	19.74	10.25	8.34 	44.91 	3.46
0022/150	19   	3.68 	4.91    	25.17	15.93	7.7  	68.61 	4.35
0023/150	19   	3.65 	0.71    	15.41	9.67 	3.16 	39.9  	2.58
0024/150	19   	3.61 	5.77    	20   	14.12	4.98 	71.86 	5.43
0025/150	19   	3.49 	3.8     	20.39	10.18	3.24 	49.51 	3.2 
0026/150	19   	3.42 	3.33    	13   	9.24 	2.64 	46.55 	3.3 
0027/150	19   	3.34 	11.19   	26.02	33.52	6.31 	165.21	10  
0028/150	19   	3.31 	5.92    	25.01	22.27	3.51 	90.28 	6.06
0029/150	19   	3.25 	0.86    	17.17	10.32	3.25 	38.02 	2.74
0030/150	19   	3.18 	2.81    	20.2 	12.18	3.45 	52.25 	3.47
0031/150	19   	3.12 	7.49    	21.91	23.74	3.45 	101.03	7.5 
0032/150	19   	3.07 	3.17    	21.64	16.56	3.36 	69.29 	4.85
0033/150	19   	3.05 	12.31   	42.92	44.69	11.05	174.75	10  
0034/150	19   	3.05 	10.79   	38.93	41.97	3.31 	157.77	10  
0035/150	19   	2.99 	11.21   	27.23	35.82	3.44 	167.25	10  
0036/150	19   	2.93 	11.07   	45.58	46.14	3.43 	162.52	10  
0037/150	19   	2.93 	12.67   	35.99	32.9 	3.7  	150.64	10  
0038/150	19   	2.91 	11.98   	45.18	45.12	15.8 	160.03	10  
0039/150	19   	2.86 	12.12   	61.56	53.78	3.3  	163.97	10  
0040/150	19   	2.84 	10.88   	44.9 	39.72	11.66	161.97	10  
0041/150	19   	2.81 	12.26   	60.37	53.74	13.17	161.56	10  
0042/150	19   	2.78 	10.91   	63.09	53.34	13.18	165.79	10  
0043/150	19   	2.76 	12.14   	47.69	47.14	7.6  	166.72	10  
0044/150	19   	2.73 	12.32   	59.57	57.4 	10.48	167.44	10  
0045/150	19   	2.76 	13.94   	58.15	57.13	13.17	176.78	10  
0046/150	19   	2.72 	12.25   	51.62	43.09	8.1  	168.35	10  
0047/150	19   	2.72 	11.03   	50.38	48.19	8.1  	164.79	10  
0048/150	19   	2.67 	11.24   	44.32	42.46	9.8  	163.15	10  
0049/150	19   	2.62 	12.68   	80.54	67.03	8.2  	166.56	10  
0050/150	19   	2.53 	12.3    	74.65	55.34	13.77	163.58	10  
0051/150	19   	2.43 	12.46   	85.73	59.01	20.12	165.3 	10  
0052/150	19   	2.38 	12      	92.29	48.3 	17.34	166.73	10  
0053/150	19   	2.39 	11.96   	51.89	44.47	10.1 	159.96	10  
0054/150	19   	2.35 	10.83   	69.19	61.84	14.58	166.74	10  
0055/150	19   	2.27 	9.4     	33.71	20.47	15.87	111.51	7.71
0056/150	19   	2.19 	11.12   	91.75	53.42	19.04	160.54	10  
0057/150	19   	2.16 	11.08   	88.89	58.06	14.43	158.63	10  
0058/150	19   	2.14 	11.22   	97.46	57.32	15.01	163.33	10  
0059/150	19   	2.1  	12.35   	97.99	55.84	19.36	162.6 	10  
0060/150	19   	2.06 	12.47   	79.63	56.28	22   	165.17	10  
0061/150	19   	2    	10.93   	73.87	52.13	20.13	163.35	10  
0062/150	19   	1.96 	12.25   	68.6 	51.18	20.38	164.11	10  
0063/150	19   	1.97 	11.05   	72.72	55.56	16.67	163.31	10  
0064/150	19   	1.98 	11.38   	95   	60.02	16.59	165.88	10  
0065/150	19   	1.99 	11.7    	63.22	52.45	19.83	165.81	10  
0066/150	19   	1.94 	11.38   	63.74	47.82	18.53	163.77	10  
0067/150	19   	1.91 	12.97   	85.5 	51.66	19.91	172.32	10  
0068/150	19   	1.86 	12.14   	64.64	47.63	17.19	164.32	10  
0069/150	19   	1.84 	11.43   	74.39	57.16	17.85	164.78	10  
0070/150	19   	1.85 	11.71   	92.79	58.29	30.86	171.06	10  
0071/150	19   	1.89 	11.75   	43.91	26.85	24.09	139.35	9.26
0072/150	19   	1.93 	12.82   	58.22	43.18	20.64	170.8 	10  
0073/150	19   	1.97 	11.34   	53.63	40.83	16.78	164.13	10  
0074/150	19   	2    	12.52   	85.87	55.79	29.91	170.28	10  
0075/150	19   	2.02 	12.45   	102.97	57.67	21.71	171.36	10  
0076/150	19   	2.06 	12.13   	69.02 	54.52	20.52	164.28	10  
0077/150	19   	2.08 	12.25   	76.69 	47.08	16.42	162.65	10  
0078/150	19   	2.08 	11.29   	79.99 	49.73	24.59	166.31	10  
0079/150	19   	2.07 	12.09   	86.03 	57.23	23.29	166.72	10  
0080/150	19   	2.06 	11.41   	69.7  	51.64	18.78	165.55	10  
0081/150	19   	2.03 	12.63   	68.79 	50.77	20.96	167.38	10  
0082/150	19   	2    	12.35   	58.24 	42.31	19.39	166.35	10  
0083/150	19   	1.96 	12.51   	60.37 	38.72	22.95	165.67	10  
0084/150	19   	1.9  	11.85   	82.2  	52.21	24.31	165.87	10  
0085/150	19   	1.82 	12.26   	67.15 	51.96	19.7 	167.75	10  
0086/150	19   	1.76 	11.14   	66.3  	43.55	21.94	167.46	10  
0087/150	19   	1.75 	10.5    	63.71 	37.29	24.67	165.71	10  
0088/150	19   	1.73 	12.6    	76.48 	55.5 	22.59	172.69	10  
0089/150	19   	1.7  	12.89   	86.06 	55.64	22.26	173.53	10  
0090/150	19   	1.67 	12.23   	58.74 	45.85	23.57	166.46	10  
0091/150	19   	1.65 	12.7    	90.46 	56.18	19.09	171.84	10  
0092/150	19   	1.61 	12.33   	100.15	61.64	21.07	171.02	10  
