gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0001/150	19   	3.75 	1.68    	9.55	4.75	3.72	18.62	1.24
0002/150	19   	3.57 	0.64    	12.55	6.53	3.42	31.74	2.05
0003/150	19   	3.41 	2.27    	14.7 	10.05	2.85	42.96	2.91
0004/150	19   	3.36 	3.58    	14.87	10.56	3.61	42.48	3.1 
0005/150	19   	3.22 	7.05    	19.27	18.58	3.36	89.06	5.99
0006/150	19   	3.12 	1.14    	15.24	10.7 	3.29	48.15	3   
0007/150	19   	3.05 	0.02    	21.21	14.8 	7.77	68.44	4.83
0008/150	19   	2.97 	2.69    	20.6 	11.36	4.26	46.13	3.01
0009/150	19   	2.9  	6.32    	25.23	19.11	9.07	90.18	5.85
0010/150	19   	2.87 	1.06    	31.34	42.24	3.42	203.8	10  
0011/150	19   	2.83 	5.81    	22.45	14.81	8.4 	76.75	5.43
0012/150	19   	2.85 	0.7     	20.92	10.02	3.54	37.27	2.58
0013/150	19   	2.88 	10.02   	30.5 	31.43	8.39	156.51	10  
0014/150	19   	2.87 	3.91    	23.84	10.56	10.41	54.95 	4.07
0015/150	19   	2.86 	6.18    	31.03	16.67	10.43	73.33 	5.34
0016/150	19   	2.88 	3.62    	25.47	12.4 	11.06	62.91 	3.75
0017/150	19   	2.91 	1.82    	30.53	17.26	8.61 	69    	4.57
0018/150	19   	2.91 	3.39    	28.11	22.41	10.85	105.32	6.51
0019/150	19   	2.89 	0.6     	27.34	13.26	7.84 	57.22 	3.44
0020/150	19   	2.84 	4.53    	33.95	23.21	12.65	108.7 	7.74
0021/150	19   	2.83 	6.48    	38.59	21.54	13.22	86.02 	5.74
0022/150	19   	2.87 	10.97   	33.16	34.07	11.81	173.46	10  
0023/150	19   	2.91 	3.98    	24.15	12.08	7.94 	51.66 	3.99
0024/150	19   	2.96 	1.68    	27.29	13.04	2.87 	52.9  	3.71
0025/150	19   	3.03 	7.9     	27.14	23.33	4.25 	107.14	7.46
0026/150	19   	3.04 	6.9     	25.57	18.41	8.29 	84.79 	6.38
0027/150	19   	3.05 	11.16   	43.37	30.53	12.62	160.49	10  
0028/150	19   	3.09 	3.61    	26.89	10.2 	12.18	46.49 	3.52
